Flora and fauna of Greenland
Nearctic realm
Alnus viridis
Androsace septentrionalis
Anemone richardsonii
Angelica archangelica
Antennaria alpina
Antennaria friesiana
Antennaria microphylla
Antennaria rosea
Arabidopsis arenicola
Arctostaphylos rubra
Arenaria ciliata
Betula glandulosa
Betula pubescens
Botrychium pinnatum
Braya thorild-wulffii
Calamagrostis lapponica
Campanula uniflora
Cardamine pratensis
Carex brunnescens
Cassiope tetragona
Cerastium arcticum
Chamaenerion latifolium
Cirsium helenioides
Cochlearia groenlandica
Corallorhiza trifida
Cornus canadensis
Cystopteris montana
Diapensia lapponica
Diphasiastrum sitchense
Draba lactea
Dryas integrifolia
Epilobium alsinifolium
Erigeron alpiniformis
Erigeron compositus
Erigeron humilis
Festuca frederikseniae
Galearis
Galearis rotundifolia
Galium album
Galium aparine
Galium boreale
Galium trifidum
Galium uliginosum
Gentiana nivalis
Gnaphalium norvegicum
Harrimanella
Hieracium alpinum
Isoetes lacustris
Juniper berry
Leymus mollis
Ligusticum scoticum
Mertensia maritima
Micranthes nivalis
Minuartia groenlandica
Oedipodium
Ophioglossum azoricum
Papaver dahlianum
Pedicularis groenlandica
Platanthera hyperborea
Polemonium boreale
Potentilla chamissonis
Potentilla diversifolia
Qinngua Valley
Ranunculus glacialis
Ranunculus nivalis
Rhododendron groenlandicum
Rhododendron tomentosum
Rubus saxatilis
Salix arctica
Saxifraga hyperborea
Saxifraga paniculata
Stellaria humifusa
Streptopus amplexifolius
The Structure and Biology of Arctic Flowering Plants
Vaccinium myrtillus
Vaccinium uliginosum
Veronica wormskjoldii
Viola labradorica
