Acleris rhombana
Adela croesella
Adela mazzolella
Aedophron phlebophora
Agapanthia kindermanni
Agdistis adactyla
Agdistis caradjai
Agdistis frankeniae
Agdistis heydeni
Agdistis meylaniella
Agrotis scruposa
Alloclemensia devotella
Alucita cinnerethella
Alucita hexadactyla
Alucita huebneri
Amata dimorpha
Ameles heldreichi
Ameles syriensis
Amselina emir
Amselina olympi
Amselina parapsesta
Anaglyptus mysticus
Anarta mendica
Anchinia grandis
Angerona prunaria
Angoumois grain moth
Antigastra catalaunalis
Antispila metallella
Apiletria luella
Aporophyla canescens
Aporophyla lutulenta
Armada panaceorum
Arragonia anatolica
Auchmis detersa
Augasma aeratella
Barbara herrichiana
Batia lunaris
Bird-cherry ermine
Blastobasis phycidella
Blomer's rivulet
Blotched emerald
Bombyx mori
Bordered white
Bothriomyrmex turcomenicus
Brachodes buxeus
Brachodes candefactus
Brachodes lucida
Brachodes orientalis
Brachodes pumila
Brachodes tristis
Bradyrrhoa cantenerella
Bradyrrhoa confiniella
Bradyrrhoa gilveolella
Bradyrrhoa trapezella
Brahmaea ledereri
Brindled beauty
Burnet companion moth
Calamotropha hierichuntica
Calamotropha paludella
Calophasia barthae
Calophasia lunula
Calophasia opalina
Calophasia platyptera
Calybites quadrisignella
Canephora hirsuta
Capperia marginellus
Capperia polonica
Capperia washbourni
Capsula algae
Capsula sparganii
Caradrina gilva
Caradrina kadenii
Caradrina selini
Caradrina vicina
Carcina quercana
Cataonia erubescens
Catarhoe cuculata
Catarhoe rubidata
Catastia acraspedella
Catastia marginea
Celypha cespitana
Celypha flavipalpana
Celypha rurestrana
Cerastis rubricosa
Chamaesphecia chalciformis
Chamaesphecia doryceraeformis
Chamaesphecia elampiformis
Chamaesphecia minor
Charanyca trigrammica
Chazaria incarnata
Chelis maculosa
Chesias rufata
Chilo luteellus
Chilo phragmitella
Chilo pulverosellus
Chlorissa viridata
Chloroclysta miata
Chloroclysta siterata
Choreutis nemorana
Choreutis pariana
Chortodes fluxa
Chrysocrambus craterellus
Chrysocrambus linetella
Chrysoesthia drurella
Cidaria fulvata
Cilix asiatica
Cilix glaucata
Clarina kotschyi
Cleonymia baetica
Cleonymia opposita
Clepsis senecionana
Cleta ramosaria
Clostera anachoreta
Clostera curtula
Clostera pigra
Cnaemidophorus rhododactyla
Cnephasia asseclana
Cnephasia communana
Cnephasia pasiuana
Coccidiphila ledereriella
Cochylidia rupicola
Cochylis hybridella
Cochylis pallidana
Codling moth
Colaspinella
Collita griseola
Colobochyla salicalis
Coloptilia conchylidella
Colostygia olivata
Colostygia pectinataria
Common carpet
Common marbled carpet
Common swift (moth)
Common white wave
Condica viscosa
Conistra erythrocephala
Conistra ligula
Conistra rubiginea
Conistra vaccinii
Coptotriche marginea
Coscinia cribraria
Cosmia affinis
Cosmia diffinis
Costaconvexa polygrammata
Coxcomb prominent
Craniophora ligustri
Craniophora pontica
Crocallis tusciaria
Crombrugghia distans
Cryptoblabes gnidiella
Cryptocochylis conjunctana
Cucullia argentina
Cybalomia lutosalis
Cybalomia pentadalis
Cydia duplicana
Cydia nigricana
Cydia succedana
Cymbalophora rivularis
Cynaeda dentalis
Cynaeda gigantea
Dahlica triquetrella
Deilephila elpenor
Deilephila porcellus
Deltophora maculata
Deroxena venosulella
Diachrysia
Diachrysia chryson
Diachrysia stenochrysis
Diacrisia sannio
Dialectica imperialella
Dialectica scalariella
Diarsia brunnea
Diarsia florida
Diasemia reticularis
Diasemiopsis ramburialis
Dicallomera fascelina
Dichagyris amoena
Dichagyris anastasia
Dichagyris elbursica
Dichagyris eremicola
Dichagyris leucomelas
Dichagyris libanicola
Dichagyris pfeifferi
Dichagyris romanovi
Dichagyris singularis
Dichagyris terminicincta
Dichagyris truculenta
Dichomeris barbella
Dichomeris derasella
Dichomeris juniperella
Dichomeris lamprostoma
Dichomeris limosellus
Dichonia aprilina
Dichrorampha acuminatana
Dichrorampha petiverella
Digitivalva occidentella
Digitivalva orientella
Digitivalva pulicariae
Digitivalva reticulella
Digitivalva wolfschlaegeri
Diloba caeruleocephala
Dirhinosia arnoldiella
Dirhinosia cervinella
Dirhinosia nitidula
Dirhinosia unifasciella
Dolbina elegans
Donacaula mucronella
Dorcadion glabrofasciatum
Double-striped pug
Drepana falcataria
Drymonia dodonaea
Drymonia obliterata
Drymonia querna
Drymonia ruficornis
Dysauxes ancilla
Dysauxes famula
Dysauxes punctata
Ecliptopera silaceata
Ectomyelois ceratoniae
Egira conspicillaris
Egira tibori
Eidophasia messingiella
Eilema caniola
Elegia fallax
Ematheudes pseudopunctella
Ematheudes punctella
Ematheudes varicella
Ematheudes vitellinella
Emmelia trabealis
Emmetia angusticollella
Endothenia quadrimaculana
Endotricha flammealis
Ennomos autumnaria
Ennomos erosaria
Ennomos quercaria
Ennomos quercinaria
Entephria caesiata
Epascestria pustulalis
Ephelis cruentalis
Ephestia cypriusella
Ephestia disparella
Ephestia elutella
Ephestia welseriella
Ephysteris deserticolella
Ephysteris promptella
Epiblema foenella
Epiblema scutulana
Epidauria strigosa
Epidauria transversariella
Epinotia cruciana
Epinotia thapsiana
Epipsilia latens
Epirrhoe galiata
Epirrhoe molluginata
Epirrhoe rivata
Epirrhoe tristata
Epischidia caesariella
Epischnia christophori
Epischnia cretaciella
Epischnia leucoloma
Epischnia leucomixtella
Epischnia muscidella
