Flora Danica
Aegopodium podagraria
Cakile maritima
Campanula glomerata
Cardamine pratensis
Centaurea scabiosa
Ceratocapnos claviculata
Cicuta virosa
Cochlearia officinalis
Crambe maritima
Dactylorhiza purpurella
Galium odoratum
Galium sterneri
Lepidium heterophyllum
Linaria vulgaris
Pines of Denmark
Plantago media
Primula veris
Primula vulgaris
Quercus of Denmark
Rhinanthus angustifolius
Rhinanthus minor
Rubus septentrionalis
Sedum reflexum
Thlaspi arvense
Thymus serpyllum
Tilia cordata
Ulmus minor
Utricularia bremii
Valerian (herb)
Zostera noltei
