Aculepeira talishia
Anatolidion
Aphanius burduricus
Arctodiaptomus burduricus
Asia Minor spiny mouse
Astenus sultanicus
Syrian brown bear
Brigittea civica
Cybaeus abchasicus
Cyrtocarenum cunicularium
Desert monitor
Dislisazancik baligi
Eirenis coronella
Eirenis decemlineatus
Eresus walckenaeri
European badger
Evarcha armeniaca
Forficula aetolica
Glyptothorax
Gnaphosa bithynica
Gnaphosa lucifuga
Gnaphosa mongolica
Turkish hamster
Heliophanillus fulgens
Heliophanus verus
Jackass shrew
Lindholmiola lens
Lindholmiola regisborisi
Lipocrea epeiroides
Lithium (wasp)
Mediterranean mussel
Melanargia titea
Micrommata virescens
Occidodiaptomus kummerloewei
Orculella critica
Orculella ignorata
Oxyopes lineatus
Pardosa roscai
Philodromus femurostriatus
Philodromus lunatus
Philodromus pinetorum
Plexippus clemens
Rana tavasensis
Rhagodia (arachnid)
Schizodactylus inexspectatus
Strongylognathus kervillei
Tegenaria argaeica
Tegenaria longimana
Tegenaria percuriosa
Woolly dormouse
Zodarion abantense
Zodarion frenatum
Zodarion granulatum
Zodarion italicum
Zodarion morosum
Zodarion turcicum
