Aglais io
Anthocharis cardamines
Apollo (butterfly)
Aporia crataegi
Boloria dia
Brown hairstreak
Carcharodus orientalis
Charaxes jasius
Chazara bischoffii
Chazara briseis
Chazara egina
Clouded Apollo
Coenonympha arcania
Colias chlorocoma
Colias hyale
Cupido myrrha
Danaus chrysippus
Dark green fritillary
Dingy skipper
Glanville fritillary
Gonepteryx cleopatra
Gonepteryx rhamni
Green hairstreak
Green-veined white
Grizzled skipper
Hamearis lucina
Hesperia comma
Holly blue
Hypolimnas misippus
Junonia orithya
Large blue
Large tortoiseshell
Lasiommata maera
Lasiommata megera
Leptidea sinapis
Leptotes pirithous
Limenitis camilla
Lycaena phlaeas
Meadow brown
Melanargia galathea
Melitaea didyma
Niobe fritillary
Nymphalis antiopa
Papilio demoleus
Papilio machaon
Pearl-bordered fritillary
Pieris brassicae
Pieris rapae
Polygonia c-album
Polyommatus admetus
Polyommatus anticarmon
Polyommatus antidolus
Polyommatus artvinensis
Polyommatus aserbeidschanus
Polyommatus attalaensis
Polyommatus corydonius
Polyommatus dama
Polyommatus iphigenia
Polyommatus zapvadi
Pontia daplidice
Pseudochazara lydia
Purple hairstreak
Pyrgus aladaghensis
Queen of Spain fritillary
Ringlet
Scarce copper
Scarce swallowtail
Silver-studded blue
Silver-washed fritillary
Small heath (butterfly)
Small tortoiseshell
Speckled wood (butterfly)
Turanana cytis
Vanessa atalanta
Vanessa cardui
